"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCC1",3647.71642890208,0.029265499251177,0.306493930484694,0.0954847595347028,0.923929795076553,0.998162318066922
"ABCC10",775.204665701484,0.161133324213473,0.192424844773996,0.837383158098557,0.40237722948253,0.9116221531192
"ABCC11",11.714184129978,1.16867670079306,1.49110273223261,0.783766722124649,0.433177003693866,0.920225649779437
"ABCC12",0.186057026474715,-1.37316300153547,4.32645551955658,-0.317387523188082,0.750949573258034,NA
"ABCC2",24.2251196288563,-0.363374058310135,0.507940388637313,-0.715387211646987,0.474369812394517,0.927035944124644
"ABCC3",314.941504100216,-0.146979579402989,0.466889896519641,-0.314805654392237,0.752909218282422,0.97157264793851
"ABCC4",4518.86604636297,-0.845314014805274,0.445120820447622,-1.89906644662276,0.0575557400620982,0.635537171129422
"ABCC5",1511.67023544122,0.552890181793381,0.273987576360734,2.01793887568625,0.0435976276232891,0.609268263653959
"ABCC6",62.57874767725,-0.317775629798607,0.623625946152573,-0.50956127107781,0.610358862531313,0.948844517290494
"ABCC8",0.172670923358227,0,4.32804458550702,0,1,NA
"ABCC9",1201.18999200625,0.170015054867795,0.354933348578995,0.479005581043495,0.631934658270777,0.949143361837332
"ABCD1",636.468125739101,0.0544198857738713,0.18880368835494,0.288235289511744,0.773166637365849,0.975078927472833
"ABCD2",0.688723522542264,3.08004423206297,4.24736129519841,0.725166525283574,0.468349876277214,0.925746814271366
"ABCD3",2563.93145989108,-0.248186294553684,0.183074576331765,-1.35565680132409,0.175208390086759,0.809256740987597
"ABCD4",603.683181847126,0.0696888490841062,0.195894740209103,0.355746402428767,0.722030491161914,0.965768944422691
"ABCE1",5457.98088016537,-0.12578971431144,0.142688444263969,-0.881569036373632,0.378009905597007,0.902674956516853
"ABCF1",6132.92035908624,-0.17036772273604,0.15901103655707,-1.07142074176024,0.283980290668366,0.869256743387315
"ABCF2",2574.8713805785,-0.0372383042589663,0.15466426490602,-0.240768637031921,0.809734438651753,0.983435535975435
"ABCF3",1676.15018783632,-0.068282067635994,0.128478467215695,-0.531467016347253,0.595095192043885,0.948003773715312
"ABCG1",694.299428644354,-2.95560862882873,1.78461240931644,-1.65616276867693,0.0976888607591189,0.716776633437487
"ABCG2",84.5022525909755,-0.15382606660791,0.522282411676052,-0.294526607002268,0.768355535113241,0.973566985349787
"ABCG4",91.3159278350037,-0.200662215115762,0.743866473200639,-0.269755691841267,0.787348212254191,0.977605342842372
"ABCG5",0.359130396637744,-2.66826054605899,4.2566037415103,-0.626851994710754,0.530756257235601,0.934286958172229
"ABHD1",1.10569416650531,0.777973627015739,2.77836453905094,0.280011357790179,0.779468791062706,0.975659886747975
"ABHD10",1831.15618130797,0.015520402584524,0.142158916454879,0.109176427139202,0.913062556947878,0.996523947029568
"ABHD11",1113.07921099288,-0.922793672530737,0.297450398381743,-3.10234471882078,0.00191994243753256,0.170998744194432
"ABHD12",3869.7585214559,-0.354740961818701,0.250521988347642,-1.41600729005247,0.156773370060978,0.790042854196286
"ABHD12B",30.8826772750691,-0.560305585400082,0.716118579369024,-0.782420120832182,0.433967712764501,0.920225649779437
"ABHD13",1156.59905173291,-0.194624269561496,0.164177511527184,-1.18545023463381,0.235839479893837,0.845103586190981
"ABHD14A",259.395428287066,0.0436458869308829,0.199009648965892,0.219315430973718,0.82640434231536,0.985120121954109
"ABHD14A-ACY1",614.221921788841,-0.369812860332365,0.21346778741074,-1.73240592792952,0.0832013132775971,0.687780916046244
"ABHD14B",3742.5772390147,0.0585750735445649,0.18123231064902,0.323204363144734,0.746540476780556,0.971250115682416
"ABHD15",575.802319635432,-0.210270927068069,0.172674066117772,-1.21773310720936,0.223325411601971,0.835275178198216
"ABHD16A",1338.36348519275,-0.0296810354934674,0.125598157801488,-0.236317442970615,0.813186352674427,0.983948856692993
"ABHD16B",70.4198775230488,0.188885522910288,0.489465056124546,0.38590195673177,0.699569281405203,0.959985329257424
